,company_id,profit,year,remarks
,C001,"692,extra",2023,text_1|extra
,C002,"465,extra",2023,text_2|extra
,C003,"225,extra",2023,text_3|extra
,C004,"333,extra",2023,text_4|extra
,C005,"142,extra",2023,text_5|extra
,C006,"772,extra",2023,text_6|extra
,C007,"883,extra",2023,text_7|extra
,C008,"850,extra",2023,text_8|extra
,C009,"255,extra",2023,text_9|extra
,C010,"766,extra",2023,text_10|extra
,,"152,extra",2023,text_11|extra
,C012,"922,extra",2023,text_12|extra
,C013,"670,extra",2023,text_13|extra
,C014,"881,extra",2023,text_14|extra
,C015,"868,extra",20x3,text_15|extra
,C016,"267,extra",2023,text_16|extra
,C017,"314,extra",2023,text_17|extra
,C018,"894,extra",2023,text_18|extra
,C019,"106,extra",2023,text_19|extra
,C020,"313,extra",2023,text_20|extra
,C021,"560,extra",2023,text_21|extra
,C022,"113,extra",2023,text_22|extra
,C023,"516,extra",2023,text_23|extra
,C024,"326,extra",2023,text_24|extra
,C025,"936,extra",2023,text_25|extra
,C026,"276,extra",20X3,text_26|extra
,C027,"440,extra",2023,text_27|extra
,C028,"148,extra",2023,text_28|extra
,C029,"314,extra",2023,text_29|extra
,C030,"850,extra",2023,text_30|extra
,C031,"832,extra",2023,text_31|extra
,C032,"486,extra",2023,text_32|extra
,C033,"313,extra",2023,text_33|extra
,C034,"860,extra",2023,text_34|extra
,C035,"417,extra",2023,text_35|extra
,C036,"368,extra",2023,text_36|extra
,C037,"299,extra",2023,text_37|extra
,C038,"636,extra",2023,text_38|extra
,C039,"138,extra",2023,text_39|extra
,C040,"540,extra",2023,text_40|extra
,C041,"922,extra",2023,text_41|extra
,C042,"820,extra",2023,text_42|extra
,C043,"979,extra",2023,text_43|extra
,C044,"945,extra",2023,text_44|extra
,C045,"197,extra",2023,text_45|extra
,C046,"663,extra",2023,text_46|extra
,C047,"419,extra",2023,text_47|extra
,C048,"508,extra",2023,text_48|extra
,C049,"665,extra",2023,text_49|extra
,C050,"437,extra",2023,text_50|extra
,C051,"214,extra",2023,text_51|extra
,C052,"996,extra",2023,text_52|extra
,C053,"647,extra",2023,text_53|extra
,C054,"898,extra",2023,text_54|extra
,C055,"455,extra",2023,text_55|extra
,C056,"219,extra",2023,text_56|extra
,C057,"183,extra",2023,text_57|extra
,C058,"892,extra",2023,text_58|extra
,C059,"662,extra",2023,text_59|extra
,C060,"399,extra",2023,text_60|extra
,C061,"962,extra",2023,text_61|extra
,C062,"352,extra",2023,text_62|extra
,C063,"660,extra",2023,text_63|extra
,C064,"752,extra",2023,text_64|extra
,C065,"674,extra",2023,text_65|extra
,C066,"471,extra",2023,text_66|extra
,C067,"666,extra",2023,text_67|extra
,C068,"431,extra",2023,text_68|extra
,C069,"530,extra",2023,text_69|extra
,C070,"837,extra",2023,text_70|extra
,C071,"337,extra",2023,text_71|extra
,C072,"148,extra",2023,text_72|extra
,C073,"266,extra",2023,text_73|extra
,C074,"937,extra",2023,text_74|extra
,C075,"254,extra",2023,text_75|extra
,C076,"330,extra",2023,text_76|extra
,C077,"108,extra",2023,text_77|extra
,C078,"924,extra",2023,text_78|extra
,C079,"828,extra",2023,text_79|extra
,C080,"329,extra",2023,text_80|extra
,,,,
,,,,
company_id,profit,year,remarks,
C081,"295,extra",2023,text_81|extra,
C082,"923,extra",2023,text_82|extra,
C083,"101,extra",2023,text_83|extra,
C084,"882,extra",2023,text_84|extra,
C085,"237,extra",2023,text_85|extra,
C086,"204,extra",2023,text_86|extra,
C087,"913,extra",2023,text_87|extra,
C088,"752,extra",2023,text_88|extra,
C089,"948,extra",2023,text_89|extra,
C090,"767,extra",2023,text_90|extra,
C091,"814,extra",2023,text_91|extra,
C092,"266,extra",2023,text_92|extra,
C093,"195,extra",2023,text_93|extra,
C094,"884,extra",2023,text_94|extra,
C095,"403,extra",2023,text_95|extra,
C096,"103,extra",2023,text_96|extra,
C097,"799,extra",2023,text_97|extra,
C098,"765,extra",2023,text_98|extra,
C099,"515,extra",2023,text_99|extra,
C100,"296,extra",2023,text_100|extra,
,,,,
,,,,
,enity name ,ABC Pvt ltd,,
,period start date ,01-01-2019,,
,period end date,31-12-2019,,
